longitude,latitude
-118.15154,34.70381
-118.35226,33.89989
-117.04679,32.74269
-121.29264,38.88683
-117.98188,34.52098
-121.15437,38.15728
-120.45779,34.65607
-118.19312,33.7718
-118.18913,33.80453
-118.18632,33.87419
-118.16847,33.85686
-118.13948,33.78762
-118.12547,33.80974
-121.19075,38.81858
-118.07203,33.80404
-118.46203,34.04115
-118.44518,34.06357
-118.44335,33.99257
-118.42162,34.01876
-118.38604,33.94895
-118.37967,33.95973
-118.37632,34.04592
-118.37078,33.9772
-118.34412,34.05202
-118.34365,34.09811
-118.34118,34.06203
-118.33855,34.10249
-118.33494,34.02732
-118.33067,33.98822
-118.31182,34.09823
-118.3093,34.08884
-118.30917,33.93263
-118.3082,34.01069
-118.30174,34.06165
-118.30143,33.96014
